subject,predicate,object,sentence
Beirut,have,population,"As of 2025, Greater Beirut has a population of 2.4 million, just under half of Lebanon's population,[5] which makes it the twelfth-largest city in the Levant region and the sixteenth-largest in the Arab world."
structure,undergo,Etymology,"Its architectural and demographic structure underwent major change in recent decades.[7][8][9][10]
Etymology
[edit]The English name Beirut is an early transcription of the Arabic name Bayrūt (بيروت)."
Greeks,hellenise,name,"Biruta was also mentioned in the Amarna letters from King Rib-Hadda of Byblos.[17]
The Greeks hellenised the name as Bērytós (Ancient Greek: Βηρυτός), which the Romans latinised as Berytus.[a]"
Romans,latinise,which,"Biruta was also mentioned in the Amarna letters from King Rib-Hadda of Byblos.[17]
The Greeks hellenised the name as Bērytós (Ancient Greek: Βηρυτός), which the Romans latinised as Berytus.[a]"
it,attain,status,"When it attained the status of a Roman colony, it was notionally refounded and its official name was emended to Colonia Iulia Augusta Felix Berytus to include its imperial sponsors."
that,separate,it,"History
[edit]The earliest settlement of Beirut was on an island in the Beirut River, but the channel that separated it from the banks silted up and the island ceased to be."
Excavations,unearth,Prehistory,"Excavations in the downtown area have unearthed layers of Phoenician, Hellenistic, Roman, Byzantine, Arab, Crusader, Persian and Ottoman remains.[19]
Prehistory
[edit]Beirut was settled over 5,000 years ago,[20] and there is evidence that the surrounding area had already been inhabited for tens of thousands of years prior to this."
Gigues,discover,industry,"The flint industry from the site was described as Mousterian and is held by the Museum of Fine Arts of Lyon.[24]
Beirut II (Umm el-Khatib) was suggested by Burkhalter to have been south of Tarik el Jedideh, where P.E. Gigues discovered a Copper Age flint industry at around 100 metres (328 feet) above sea level."
Gigues,discover,series,P. E. Gigues discovered a series of Neolithic flint tools on the surface along with the remains of a structure suggested to be a hut circle.
Bergy,discuss,axes,"Auguste Bergy discussed polished axes that were also found at this site, which has now completely disappeared as a result of construction and urbanisation of the area.[25]
Beirut IV (Furn esh-Shebbak, river banks) was also on the left bank of the river and on either side of the road leading eastwards from the Furn esh Shebbak police station towards the river that marked the city limits."
that,mark,limits,"Auguste Bergy discussed polished axes that were also found at this site, which has now completely disappeared as a result of construction and urbanisation of the area.[25]
Beirut IV (Furn esh-Shebbak, river banks) was also on the left bank of the river and on either side of the road leading eastwards from the Furn esh Shebbak police station towards the river that marked the city limits."
They,include,bifaces,"They included around 50 varied bifaces accredited to the Acheulean period, some with a lustrous sheen, now held at the Museum of Lebanese Prehistory."
Fleisch,find,point,"Henri Fleisch also found an Emireh point amongst material from the site, which has now disappeared beneath buildings."
reports,dismiss,claims,"Two later reports by an international committee of archaeologists appointed by Layoun, including Hanz Curver, and an expert report by Ralph Pederson, a member of the institute of Nautical Archaeology and now teaching in Marburg, Germany, dismissed the claims that the trenches were a port, on various criteria."
issue,raise,emotions,"The exact function of site BEY194 may never be known, and the issue raised heated emotions and led to increased coverage on the subject of Lebanese heritage in the press.[31][32][33]
Hellenistic period
[edit]In 140 BC, the Phoenician city was destroyed by Diodotus Tryphon during his conflict with Antiochus VII Sidetes for the throne of the Hellenistic Seleucid monarchy."
Beirut,overlie,one,"Present-day Beirut overlies this ancient one, and little archaeology was carried out until after the civil war in 1991."
